openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2021-01-01,5.15000000,5.27970000,4.58950000,4.73530000,12818149.34000000,1609545599999,63396881.07734000,150046,6247474.76000000,30928230.31994900,0
2021-01-02,4.73640000,5.20000000,4.48000000,4.85640000,15422965.31000000,1609631999999,73673763.54436200,153059,7439468.67000000,35513577.98012900,0
2021-01-03,4.85730000,5.64120000,4.67560000,5.51550000,16004744.42000000,1609718399999,82035063.08707800,171306,8021907.22000000,41149045.82086600,0
2021-01-04,5.51170000,6.20000000,4.85560000,5.42380000,17737637.15000000,1609804799999,97160283.62674400,211849,9186366.80000000,50384770.42037600,0
2021-01-05,5.43090000,6.56000000,5.16400000,6.25180000,13101875.75000000,1609891199999,77322387.88650200,176467,6479218.65000000,38248302.78930300,0
2021-01-06,6.25180000,6.59110000,6.00400000,6.41570000,8261062.72000000,1609977599999,51557270.08536400,121395,4075650.89000000,25440704.53352600,0
2021-01-07,6.41570000,6.84000000,6.02800000,6.25450000,7832572.02000000,1610063999999,49655803.30026900,107232,3664397.78000000,23280020.50533100,0
2021-01-08,6.26570000,6.37000000,5.41880000,5.88070000,8255855.64000000,1610150399999,49167935.39130400,100844,3814297.48000000,22721094.29780200,0
2021-01-09,5.87370000,6.34610000,5.66180000,6.22000000,5958300.54000000,1610236799999,36072902.62514500,81833,2926242.35000000,17704872.01514500,0
2021-01-10,6.22010000,6.58000000,5.54470000,5.98020000,7474281.85000000,1610323199999,45878434.89226900,107077,3836636.60000000,23599725.23718400,0
2021-01-11,5.98010000,6.00350000,4.39040000,5.24480000,14894495.80000000,1610409599999,76103748.91179400,185320,7259527.48000000,37111984.86507200,0
2021-01-12,5.24270000,5.82110000,4.96510000,5.58780000,8248266.10000000,1610495999999,44574531.36792900,101677,4275733.70000000,23104555.21413400,0
2021-01-13,5.58780000,6.38250000,5.26010000,6.33110000,6787774.10000000,1610582399999,39523137.87374900,93744,3524818.32000000,20509995.97266200,0
2021-01-14,6.34060000,7.13000000,6.17750000,6.95930000,10439216.67000000,1610668799999,68956506.18345400,136217,5211564.10000000,34438156.07481700,0
2021-01-15,6.96030000,7.49000000,6.36100000,7.37620000,16759142.91000000,1610755199999,118335435.68163500,214029,8302163.10000000,58705802.08865600,0
2021-01-16,7.37610000,9.37760000,7.19310000,8.39080000,16659914.44000000,1610841599999,136057159.47318500,221966,8700944.65000000,71131259.68022000,0
2021-01-17,8.39870000,9.18000000,8.02840000,8.68900000,12230919.85000000,1610927999999,104985958.46097800,187958,6115475.11000000,52535700.17607000,0
2021-01-18,8.68380000,9.87800000,8.30000000,9.19040000,10123589.68000000,1611014399999,92491502.24655800,165235,4950600.99000000,45207815.84974400,0
2021-01-19,9.19840000,9.93880000,8.46410000,8.57670000,8643124.23000000,1611100799999,78980142.71294400,148800,4282937.59000000,39173024.89810700,0
2021-01-20,8.57880000,9.04650000,7.65000000,8.96460000,9665642.01000000,1611187199999,80062328.45363300,149495,4897236.09000000,40583047.33460200,0
2021-01-21,8.96740000,9.03690000,7.32470000,7.58730000,8698599.10000000,1611273599999,70491991.17057400,135498,4096673.11000000,33242458.10795800,0
2021-01-22,7.58650000,9.09660000,7.04050000,8.68340000,8355910.06000000,1611359999999,68017817.10920300,142502,4266666.67000000,34754227.73515300,0
2021-01-23,8.69650000,9.53390000,8.49080000,9.34280000,5350324.46000000,1611446399999,48602006.52530200,99422,2735977.35000000,24861203.97776000,0
2021-01-24,9.33570000,12.30000000,9.15830000,12.05050000,12721611.85000000,1611532799999,137196482.11831600,222935,6348288.71000000,68256782.67711600,0
2021-01-25,12.03900000,12.89830000,10.88000000,11.31770000,13116856.01000000,1611619199999,155574571.04426600,251148,6503831.71000000,77168006.40219900,0
2021-01-26,11.30970000,14.31480000,11.15570000,13.90860000,19001655.60000000,1611705599999,243093612.81294800,342336,9851765.28000000,126236446.43894900,0
2021-01-27,13.90860000,15.49340000,13.02000000,14.74930000,20244050.72000000,1611791999999,285284411.99901700,381882,10392760.66000000,146661335.65550400,0
2021-01-28,14.74930000,15.39970000,13.49940000,14.10030000,14385148.83000000,1611878399999,207865227.51602000,296748,7161470.94000000,103536971.33808600,0
2021-01-29,14.11210000,15.80000000,14.07100000,15.64180000,13323277.76000000,1611964799999,198068404.16249600,290370,6702282.95000000,99732927.82758700,0
2021-01-30,15.64180000,19.62000000,15.09000000,19.53760000,13273973.57000000,1612051199999,226541580.82936600,319669,6935733.14000000,118352057.48421000,0
2021-01-31,19.57130000,20.56120000,17.39990000,17.72460000,15718817.49000000,1612137599999,297411769.39439500,363197,8020945.99000000,151775231.32137500,0
2021-02-01,17.73350000,20.75830000,16.66790000,20.45020000,12215677.80000000,1612223999999,227098665.49957700,299709,6139447.82000000,114080615.77200300,0
2021-02-02,20.45420000,20.60620000,18.00500000,18.95170000,8876910.38000000,1612310399999,169401023.43168800,216876,4493711.12000000,85760624.34786300,0
2021-02-03,18.96750000,20.55850000,18.68990000,19.71140000,7886297.54000000,1612396799999,155082634.97666600,216671,3720884.44000000,73194643.15303600,0
2021-02-04,19.72380000,21.59600000,19.13200000,20.12990000,8880802.92000000,1612483199999,183135183.32672900,284020,4553673.89000000,93970281.77887800,0
2021-02-05,20.10430000,22.50000000,19.63330000,21.14500000,6869668.75000000,1612569599999,143190758.93474500,208021,3426725.10000000,71523943.11412500,0
2021-02-06,21.14500000,21.67600000,19.16410000,19.24990000,5455158.74000000,1612655999999,108922111.37614600,171623,2577855.62000000,51496442.96245500,0
2021-02-07,19.24990000,19.73000000,17.06000000,18.65920000,6015538.25000000,1612742399999,110388733.11543700,189929,2952952.99000000,54151091.16676400,0
2021-02-08,18.67450000,20.17380000,18.11630000,19.31980000,5898408.32000000,1612828799999,113158694.89225800,183570,3007951.11000000,57710634.24105300,0
2021-02-09,19.31770000,19.90300000,18.81450000,19.51750000,4421517.57000000,1612915199999,85328331.88591900,135980,2114001.04000000,40820694.22055200,0
2021-02-10,19.50750000,22.50000000,19.00000000,20.68020000,7974562.63000000,1613001599999,167176647.37971100,257470,4025489.06000000,84424695.53522100,0
2021-02-11,20.68080000,22.01350000,20.12200000,21.45360000,3940036.85000000,1613087999999,82184589.60740900,134764,1921485.86000000,40114342.90907400,0
2021-02-12,21.46150000,23.83000000,21.23130000,22.62360000,5817360.92000000,1613174399999,131468223.64971500,173639,2929093.52000000,66273904.88068400,0
2021-02-13,22.63740000,23.80000000,21.20370000,21.77380000,4356960.74000000,1613260799999,97130392.91284500,145112,2120905.54000000,47299679.34607400,0
2021-02-14,21.77440000,22.60000000,20.66370000,20.82450000,2698101.82000000,1613347199999,58533049.63682600,94666,1307989.98000000,28393063.21420000,0
2021-02-15,20.82950000,21.53990000,16.84210000,20.06750000,5678630.84000000,1613433599999,111831949.15751800,203947,2681946.48000000,53006719.19439200,0
2021-02-16,20.07690000,21.32000000,19.37520000,20.48460000,3690220.56000000,1613519999999,76064054.28702800,114370,1772585.39000000,36553016.20901600,0
2021-02-17,20.48440000,21.81680000,19.16630000,21.51750000,3666053.53000000,1613606399999,75017637.41658200,115455,1751580.56000000,35878494.18142600,0
2021-02-18,21.53840000,22.27000000,20.56630000,21.17330000,4094257.31000000,1613692799999,87500452.57146100,121943,2013055.48000000,43036560.69298000,0
2021-02-19,21.17420000,21.54400000,19.32350000,20.07560000,6543994.23000000,1613779199999,133421107.66932700,175630,3062203.75000000,62435120.22202100,0
2021-02-20,20.07440000,32.99900000,19.50260000,28.75330000,23821017.72000000,1613865599999,649670256.42187000,758850,12117442.27000000,330454993.50688300,0
2021-02-21,28.73150000,32.12200000,27.71420000,28.77630000,12428623.70000000,1613951999999,373966606.68439600,437286,6063581.90000000,182446732.15339400,0
2021-02-22,28.79580000,29.14580000,21.81570000,27.68350000,12142946.64000000,1614038399999,323344261.42035500,388120,5952752.15000000,158767759.78136800,0
2021-02-23,27.68610000,27.79950000,18.10000000,24.80860000,16473183.55000000,1614124799999,374324315.29884600,478541,8052682.91000000,183248432.99314700,0
