openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2019-11-07,0.03425000,0.03438000,0.03156000,0.03282000,6077311.70000000,1573171199999,199314.82530900,1100,2418890.90000000,79728.43899100,0
2019-11-08,0.03287000,0.03580000,0.03270000,0.03284000,10530184.60000000,1573257599999,358707.36784800,2380,4166922.50000000,142217.46268500,0
2019-11-09,0.03286000,0.03999000,0.03283000,0.03675000,22237216.20000000,1573343999999,818681.32484900,6280,10882603.60000000,400260.08518700,0
2019-11-10,0.03673000,0.03690000,0.03475000,0.03537000,7046987.90000000,1573430399999,250617.57262900,2376,3122327.80000000,111223.92498500,0
2019-11-11,0.03537000,0.03560000,0.03352000,0.03459000,4053917.80000000,1573516799999,139520.28223200,1371,1598918.30000000,55054.82460900,0
2019-11-12,0.03451000,0.03600000,0.03420000,0.03513000,4954895.40000000,1573603199999,172689.84796600,1409,1474757.10000000,51408.63098400,0
2019-11-13,0.03513000,0.03546000,0.03300000,0.03539000,8490390.40000000,1573689599999,290141.47828200,2154,2635122.80000000,89625.90938400,0
2019-11-14,0.03539000,0.03559000,0.03330000,0.03397000,2617161.10000000,1573775999999,90112.58058700,913,1027707.10000000,35309.71750700,0
2019-11-15,0.03396000,0.03421000,0.03152000,0.03241000,4576623.00000000,1573862399999,148566.65057700,1278,2173696.70000000,70540.65774500,0
2019-11-16,0.03241000,0.03306000,0.03174000,0.03261000,1131232.60000000,1573948799999,36665.98169300,482,685889.00000000,22243.62308700,0
2019-11-17,0.03264000,0.03459000,0.03250000,0.03261000,3596978.30000000,1574035199999,118926.94384600,1161,2224040.60000000,73549.29517900,0
2019-11-18,0.03258000,0.03266000,0.03000000,0.03071000,5295555.10000000,1574121599999,165920.27563500,1695,3434955.20000000,107575.94203300,0
2019-11-19,0.03071000,0.03087000,0.02847000,0.03022000,5983800.40000000,1574207999999,175483.19273000,1161,2464329.50000000,72485.15295600,0
2019-11-20,0.03021000,0.03100000,0.02872000,0.02926000,3101409.30000000,1574294399999,91910.36627600,991,1073867.90000000,31874.75907200,0
2019-11-21,0.02929000,0.02941000,0.02571000,0.02744000,4469026.60000000,1574380799999,122893.31601300,816,2083161.60000000,56962.98690700,0
2019-11-22,0.02734000,0.02900000,0.02510000,0.02629000,5838979.30000000,1574467199999,158422.94290600,1229,2815469.90000000,76166.48637100,0
2019-11-23,0.02628000,0.02708000,0.02424000,0.02558000,14804194.00000000,1574553599999,375034.41951500,2776,6679816.20000000,169416.69300300,0
2019-11-24,0.02558000,0.02596000,0.02369000,0.02406000,4016459.10000000,1574639999999,100074.77784900,873,1898290.90000000,47273.43379300,0
2019-11-25,0.02374000,0.02580000,0.02240000,0.02408000,9887192.50000000,1574726399999,235243.95583900,1683,5277323.40000000,125701.80354600,0
2019-11-26,0.02409000,0.02500000,0.02374000,0.02436000,6539282.10000000,1574812799999,158896.63272300,1083,4711346.70000000,114538.91015000,0
2019-11-27,0.02434000,0.02517000,0.02251000,0.02429000,10071452.20000000,1574899199999,239435.73375200,1782,6039911.00000000,143947.74602600,0
2019-11-28,0.02429000,0.02646000,0.02400000,0.02518000,6925965.70000000,1574985599999,173144.84194000,1140,3609662.50000000,89379.28008600,0
2019-11-29,0.02504000,0.02716000,0.02492000,0.02600000,5745663.20000000,1575071999999,150781.69767700,1064,2451526.60000000,64316.62130700,0
2019-11-30,0.02600000,0.02702000,0.02402000,0.02488000,5633287.90000000,1575158399999,144117.50356300,1072,2576611.90000000,65831.54430300,0
2019-12-01,0.02496000,0.02698000,0.02375000,0.02543000,3379855.60000000,1575244799999,83875.10465100,785,1601179.00000000,39893.83017900,0
2019-12-02,0.02548000,0.02662000,0.02397000,0.02421000,3457994.70000000,1575331199999,85355.55220400,600,1310561.20000000,32481.38616100,0
2019-12-03,0.02423000,0.02448000,0.02370000,0.02372000,3101846.70000000,1575417599999,74263.69948900,541,1875839.70000000,44906.31062200,0
2019-12-04,0.02377000,0.02481000,0.02200000,0.02271000,7667111.60000000,1575503999999,178184.45574300,1430,3596376.20000000,83498.42327400,0
2019-12-05,0.02268000,0.02299000,0.02175000,0.02247000,7320344.90000000,1575590399999,163784.79593000,1427,2863642.80000000,64135.85935100,0
2019-12-06,0.02263000,0.02385000,0.02210000,0.02364000,6042411.20000000,1575676799999,139527.82470400,1175,3033913.60000000,70231.64625000,0
2019-12-07,0.02366000,0.02550000,0.02361000,0.02461000,6454272.10000000,1575763199999,160124.66973900,1067,2292153.70000000,57004.66002400,0
2019-12-08,0.02458000,0.02635000,0.02373000,0.02620000,12111840.20000000,1575849599999,300273.11036100,2020,5644583.00000000,139990.53089200,0
2019-12-09,0.02616000,0.02876000,0.02448000,0.02518000,16682058.00000000,1575935999999,443126.41153100,3369,7687330.10000000,204860.72259900,0
2019-12-10,0.02519000,0.02531000,0.02185000,0.02334000,10864922.70000000,1576022399999,252943.90602500,1820,4313993.80000000,100516.50336200,0
2019-12-11,0.02334000,0.02522000,0.02334000,0.02473000,7637802.80000000,1576108799999,184256.15708300,1360,2932915.90000000,70874.78138400,0
2019-12-12,0.02473000,0.02494000,0.02310000,0.02330000,5495092.30000000,1576195199999,131502.66227100,1134,2187413.40000000,52321.98748900,0
2019-12-13,0.02330000,0.02439000,0.02305000,0.02346000,3214437.80000000,1576281599999,76213.41453900,1076,1592338.00000000,37835.25182100,0
2019-12-14,0.02347000,0.02500000,0.02306000,0.02325000,7137652.10000000,1576367999999,169091.65291800,859,3082016.50000000,72834.72716100,0
2019-12-15,0.02319000,0.02319000,0.02222000,0.02278000,3641398.60000000,1576454399999,82891.89860400,518,1294050.30000000,29449.42441900,0
2019-12-16,0.02277000,0.02339000,0.02085000,0.02086000,7531454.50000000,1576540799999,167617.34012400,1121,3272157.00000000,72865.62246500,0
2019-12-17,0.02097000,0.02117000,0.01836000,0.01840000,9827971.70000000,1576627199999,194904.48697000,1941,3739311.70000000,75224.26466400,0
2019-12-18,0.01846000,0.02013000,0.01785000,0.01940000,14915578.70000000,1576713599999,284385.26678500,2151,7695105.00000000,146545.15080400,0
2019-12-19,0.01940000,0.01957000,0.01790000,0.01809000,10387858.60000000,1576799999999,192227.73471400,1537,4726482.70000000,87697.31864200,0
2019-12-20,0.01808000,0.01943000,0.01795000,0.01883000,9264076.70000000,1576886399999,172417.07245200,1257,4621856.90000000,85892.89925000,0
2019-12-21,0.01872000,0.01916000,0.01771000,0.01827000,9059486.70000000,1576972799999,165930.45759200,952,3742950.70000000,68936.38688100,0
2019-12-22,0.01824000,0.02002000,0.01814000,0.01854000,17578513.40000000,1577059199999,336175.90996300,2066,7063670.20000000,135190.78808700,0
2019-12-23,0.01859000,0.01868000,0.01484000,0.01562000,92156546.50000000,1577145599999,1451606.27307800,9083,38640716.60000000,607703.58764400,0
2019-12-24,0.01557000,0.01589000,0.01496000,0.01512000,18065707.80000000,1577231999999,277164.81626700,1687,7553603.70000000,115979.40397400,0
2019-12-25,0.01517000,0.01585000,0.01428000,0.01474000,23149765.90000000,1577318399999,349082.73180200,1945,6738929.20000000,102199.30189200,0
2019-12-26,0.01474000,0.01516000,0.01461000,0.01464000,14763563.80000000,1577404799999,219327.31432700,1227,7022799.50000000,104496.98039500,0
2019-12-27,0.01464000,0.01550000,0.01384000,0.01415000,23441014.10000000,1577491199999,335410.47587400,1905,11113984.30000000,159665.50882900,0
2019-12-28,0.01422000,0.01473000,0.01415000,0.01430000,15083188.60000000,1577577599999,217328.06298600,1213,6212602.00000000,89615.92064600,0
2019-12-29,0.01435000,0.01435000,0.01287000,0.01308000,53844283.30000000,1577663999999,719300.08899100,3382,22826535.80000000,304056.71192500,0
2019-12-30,0.01301000,0.01326000,0.01094000,0.01111000,57897084.20000000,1577750399999,688088.78003900,3979,23185646.20000000,272404.41948900,0
